text,label
"Je suis très stressée aujourd'hui",90          
"I feel exhausted and under pressure",88 
"Je n'ai pas le temps pour moi",92
"My deadlines are overwhelming",85
"Je suis inquiet pour mon avenir",87
"I can't relax at all",91
"أنا مستريسية بزاف ليوما",90                 
"كنحس براسي مهلوك ومضغوط",90
"ماقادش نرتاح ݣاع",91
"ما عنديش الوقت لراسي",92
"كنحس براسي مقلق بزاف",93
"كنحس براسي محاصر فالخدمة",89
"عندي بزاف ديال المشاريع وما عرفتش منين نبدا",95
"الوقت ضايق بزاف عليا",85
"أنا مبرزط على المستقبل ديالي",87
"كنحس بالضغط فالخدمة",82
"أنا متوتر جدا اليوم ولا أستطيع التركيز في عملي",90      
"الضغوط اليومية تؤثر سلبًا على صحتي النفسية",88
"أعاني من ضغط نفسي كبير بسبب كثرة المسؤوليات",92
"أشعر بالقلق المستمر تجاه مستقبلي المهني",87
"لا أجد وقتًا للراحة بسبب العمل المتواصل",85
"المهام المتراكمة تجعلني أشعر بالإرهاق الشديد",93
"أشعر بأنني محاصر بالضغوط ولا أستطيع التحكم بها",94

"حياتي مليئة بالضغط stress وما لقيتش الراحة",89   
"Je suis stressé بزاف وما كنرتاحش",90
"Feeling stressed بزاف هاد الأيام",86
"كنحس بالضغط pressure فالخدمة",84
"Work ديالي داير لي ضغط كبير",88

"Kanhass bryassi mehlouk w madghout",90       
"Ana mstressya bezzaf lyouma",90
"lyouma kanhess brasi mghmouma bezef",91
"Ma9adch nrtah ga3",91
"rassi m3emmer b lfikar w ma9aditch nertah",89
"khdemti dayra liya pressure kbir",85
"Lwaqt daye9 bezaf 3lia",85
"Ana mbarzat 3la lmosta9bal dyali",87
"Ma 3ndich lwe9t l rassi",92 
"kanhess brasi m3esba w m9el9a bezef",92
"ma9aditch nertah w rassi mahanich",90
"J'ai beaucoup de travail",55                       
"Je dois finir plusieurs tâches",60
"My workload is okay but a bit heavy",50
"Je suis fatigué mais ça va",48
"Things are stressful but manageable",58

"عندي بزاف ديال الخدمة",62                  
"كنحس براسي مشغول بزاف",57
"كنحس براسي متردد ومحتار",53

"أشعر ببعض الضغط ولكن يمكنني التعامل معه",45       
"لدي مسؤوليات كثيرة لكنها تحت السيطرة",60
"أشعر بالتعب أحيانًا لكن وضعي مستقر",50
"العمل مرهق قليلاً ولكنني أستطيع تنظيم وقتي",55
"أواجه بعض التوتر خلال اليوم لكنه مؤقت",42
"أشعر بالقلق أحيانًا دون أن يؤثر ذلك على أدائي",47

"Work ديالي شوية تقيل ولكن manageable",58                  
"كنحس بشوية stress ولكن الأمور دايرة مزيان",52
"Je suis مشغول ولكن كنحاول ننظم وقتي",56

"lyouma kanhess brasi 3yane shwiya walakin mzyana",48       
